,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,cut_int,color_int,clarity_int,carat_category,cut_color_clarity,cut_color_clarity_bins
26,26,1.0,Premium,G,VS2,61.6,54.0,6216,6.49,6.46,3.99,4,4,5,"(0.85, 1.4]",13,"(12.0, 14.0]"
27,27,0.9,Premium,D,SI1,61.7,56.0,3568,6.16,6.09,3.78,4,7,2,"(0.85, 1.4]",13,"(12.0, 14.0]"
28,28,1.55,Very Good,H,SI1,63.2,57.0,7066,7.35,7.31,4.64,3,3,2,"(1.4, 1.9]",8,"(2.999, 10.0]"
29,29,1.01,Premium,H,SI2,61.1,60.0,3054,6.46,6.41,3.93,4,3,3,"(0.85, 1.4]",10,"(2.999, 10.0]"
30,30,1.16,Premium,G,SI2,62.5,58.0,4969,6.72,6.68,4.19,4,4,3,"(0.85, 1.4]",11,"(10.0, 12.0]"
31,31,0.35,Ideal,H,VVS1,62.0,53.9,743,4.5,4.53,2.8,5,3,6,"(0.0, 0.85]",14,"(12.0, 14.0]"
32,32,0.97,Ideal,H,VVS1,60.4,57.0,6801,6.4,6.48,3.89,5,3,6,"(0.85, 1.4]",14,"(12.0, 14.0]"
33,33,1.19,Ideal,E,SI2,60.2,57.0,5717,6.84,6.87,4.13,5,6,3,"(0.85, 1.4]",14,"(12.0, 14.0]"
34,34,0.7,Very Good,H,VS1,62.1,56.0,2422,5.65,5.68,3.52,3,3,4,"(0.0, 0.85]",10,"(2.999, 10.0]"
35,35,0.8,Very Good,H,SI1,63.2,54.0,2553,5.93,5.88,3.73,3,3,2,"(0.0, 0.85]",8,"(2.999, 10.0]"
36,36,2.0,Premium,I,SI2,61.3,59.0,14208,8.13,8.09,4.97,4,2,3,"(1.9, 2.4]",9,"(2.999, 10.0]"
37,37,0.71,Very Good,E,VS2,63.5,59.0,2858,5.68,5.59,3.58,3,6,5,"(0.0, 0.85]",14,"(12.0, 14.0]"
38,38,1.0,Premium,F,SI1,60.3,58.0,5292,6.47,6.43,3.89,4,5,2,"(0.85, 1.4]",11,"(10.0, 12.0]"
39,39,0.5,Ideal,E,SI2,62.4,57.0,1240,5.07,5.03,3.15,5,6,3,"(0.0, 0.85]",14,"(12.0, 14.0]"
40,40,0.51,Ideal,G,VVS2,61.3,57.0,1875,5.12,5.15,3.15,5,4,7,"(0.0, 0.85]",16,"(14.0, 20.0]"
41,41,1.04,Premium,G,SI2,62.2,59.0,3861,6.57,6.49,4.06,4,4,3,"(0.85, 1.4]",11,"(10.0, 12.0]"
42,42,0.64,Ideal,G,VVS2,61.8,54.0,2587,5.53,5.56,3.42,5,4,7,"(0.0, 0.85]",16,"(14.0, 20.0]"
43,43,0.8,Ideal,E,VS2,62.2,57.0,3648,5.95,5.98,3.71,5,6,5,"(0.0, 0.85]",16,"(14.0, 20.0]"
44,44,0.3,Ideal,D,SI1,61.9,56.0,552,4.28,4.31,2.66,5,7,2,"(0.0, 0.85]",14,"(12.0, 14.0]"
45,45,0.38,Premium,E,VS2,61.8,58.0,866,4.61,4.64,2.86,4,6,5,"(0.0, 0.85]",15,"(14.0, 20.0]"
46,46,0.31,Ideal,G,VS1,62.1,55.0,625,4.33,4.37,2.7,5,4,4,"(0.0, 0.85]",13,"(12.0, 14.0]"
47,47,1.0,Fair,H,SI1,55.2,64.0,3830,6.69,6.64,3.68,1,3,2,"(0.85, 1.4]",6,"(2.999, 10.0]"
48,48,0.78,Ideal,G,VS2,61.7,55.0,3184,5.94,5.89,3.65,5,4,5,"(0.0, 0.85]",14,"(12.0, 14.0]"
49,49,1.0,Very Good,D,SI1,59.8,59.0,5671,6.47,6.51,3.88,3,7,2,"(0.85, 1.4]",12,"(10.0, 12.0]"
50,50,0.7,Very Good,H,VS1,60.3,63.0,2399,5.77,5.73,3.47,3,3,4,"(0.0, 0.85]",10,"(2.999, 10.0]"
51,51,0.64,Very Good,F,SI1,60.7,59.0,1688,5.51,5.59,3.37,3,5,2,"(0.0, 0.85]",10,"(2.999, 10.0]"
52,52,0.31,Ideal,I,VS1,61.3,55.6,513,4.37,4.4,2.69,5,2,4,"(0.0, 0.85]",11,"(10.0, 12.0]"
53,53,0.52,Ideal,G,VS2,61.9,55.0,1549,5.15,5.18,3.2,5,4,5,"(0.0, 0.85]",14,"(12.0, 14.0]"
54,54,0.33,Ideal,E,VS1,62.6,57.0,1002,4.42,4.4,2.76,5,6,4,"(0.0, 0.85]",15,"(14.0, 20.0]"
55,55,0.3,Very Good,H,VVS1,63.4,57.0,878,4.31,4.27,2.72,3,3,6,"(0.0, 0.85]",12,"(10.0, 12.0]"
56,56,1.0,Good,J,SI1,63.9,60.0,3679,6.26,6.19,3.98,2,1,2,"(0.85, 1.4]",5,"(2.999, 10.0]"
57,57,0.3,Ideal,E,I1,60.3,57.0,495,4.39,4.36,2.64,5,6,1,"(0.0, 0.85]",12,"(10.0, 12.0]"
58,58,0.47,Premium,H,VS1,61.8,58.0,1221,4.99,4.94,3.07,4,3,4,"(0.0, 0.85]",11,"(10.0, 12.0]"
59,59,1.59,Ideal,H,VS1,60.7,56.0,13839,7.54,7.58,4.59,5,3,4,"(1.4, 1.9]",12,"(10.0, 12.0]"
60,60,1.01,Good,G,SI1,63.7,60.0,5113,6.32,6.28,4.01,2,4,2,"(0.85, 1.4]",8,"(2.999, 10.0]"
61,61,0.34,Ideal,H,SI1,62.6,56.0,628,4.48,4.46,2.8,5,3,2,"(0.0, 0.85]",10,"(2.999, 10.0]"
62,62,0.31,Ideal,E,VVS2,60.8,57.0,816,4.36,4.39,2.66,5,6,7,"(0.0, 0.85]",18,"(14.0, 20.0]"
63,63,0.74,Ideal,G,VS2,61.2,56.0,3434,5.82,5.85,3.57,5,4,5,"(0.0, 0.85]",14,"(12.0, 14.0]"
64,64,0.33,Ideal,F,VS2,62.6,55.0,854,4.42,4.4,2.76,5,5,5,"(0.0, 0.85]",15,"(14.0, 20.0]"
65,65,1.08,Ideal,I,VS2,61.8,54.0,5455,6.6,6.57,4.07,5,2,5,"(0.85, 1.4]",12,"(10.0, 12.0]"
66,66,0.79,Ideal,G,SI1,62.3,57.0,2898,5.9,5.85,3.66,5,4,2,"(0.0, 0.85]",11,"(10.0, 12.0]"
67,67,0.3,Ideal,H,VVS2,61.5,57.0,776,4.34,4.31,2.66,5,3,7,"(0.0, 0.85]",15,"(14.0, 20.0]"
68,68,1.33,Ideal,I,VVS2,62.2,56.0,7887,7.01,7.04,4.37,5,2,7,"(0.85, 1.4]",14,"(12.0, 14.0]"
69,69,0.51,Very Good,H,SI1,61.2,55.0,1008,5.19,5.21,3.18,3,3,2,"(0.0, 0.85]",8,"(2.999, 10.0]"
70,70,0.58,Ideal,D,SI2,61.2,57.0,1342,5.36,5.4,3.29,5,7,3,"(0.0, 0.85]",15,"(14.0, 20.0]"
71,71,1.22,Ideal,H,VS2,62.0,58.0,7623,6.81,6.86,4.24,5,3,5,"(0.85, 1.4]",13,"(12.0, 14.0]"
72,72,0.78,Good,H,VS2,63.7,60.0,2440,5.77,5.73,3.66,2,3,5,"(0.0, 0.85]",10,"(2.999, 10.0]"
73,73,1.62,Ideal,I,VS1,60.8,56.0,11152,7.56,7.61,4.62,5,2,4,"(1.4, 1.9]",11,"(10.0, 12.0]"
74,74,1.65,Ideal,G,VS2,60.8,56.0,14456,7.65,7.7,4.67,5,4,5,"(1.4, 1.9]",14,"(12.0, 14.0]"
75,75,0.55,Very Good,F,VS1,61.2,56.4,1975,5.28,5.33,3.25,3,5,4,"(0.0, 0.85]",12,"(10.0, 12.0]"
76,76,1.64,Ideal,E,SI1,60.7,55.0,9801,7.67,7.64,4.65,5,6,2,"(1.4, 1.9]",13,"(12.0, 14.0]"
77,77,0.3,Premium,E,VS2,62.5,59.0,658,4.27,4.3,2.68,4,6,5,"(0.0, 0.85]",15,"(14.0, 20.0]"
78,78,0.41,Ideal,D,VS2,61.7,56.0,1076,4.81,4.78,2.96,5,7,5,"(0.0, 0.85]",17,"(14.0, 20.0]"
79,79,0.3,Premium,D,VVS2,62.4,58.0,752,4.26,4.3,2.67,4,7,7,"(0.0, 0.85]",18,"(14.0, 20.0]"
80,80,1.1,Premium,G,VS2,59.6,60.0,6121,6.72,6.7,4.0,4,4,5,"(0.85, 1.4]",13,"(12.0, 14.0]"
81,81,1.03,Ideal,I,SI1,63.3,57.0,4401,6.37,6.46,4.06,5,2,2,"(0.85, 1.4]",9,"(2.999, 10.0]"
82,82,0.3,Fair,J,VS2,64.8,58.0,416,4.24,4.16,2.72,1,1,5,"(0.0, 0.85]",7,"(2.999, 10.0]"
83,83,1.02,Premium,I,SI1,62.7,58.0,4227,6.44,6.41,4.03,4,2,2,"(0.85, 1.4]",8,"(2.999, 10.0]"
84,84,0.56,Premium,E,VS2,61.8,56.0,1915,5.31,5.28,3.27,4,6,5,"(0.0, 0.85]",15,"(14.0, 20.0]"
85,85,1.51,Very Good,F,VS1,62.6,57.0,14976,7.25,7.29,4.55,3,5,4,"(1.4, 1.9]",12,"(10.0, 12.0]"
86,86,1.13,Premium,I,SI1,61.8,59.0,4536,6.65,6.68,4.12,4,2,2,"(0.85, 1.4]",8,"(2.999, 10.0]"
87,87,0.34,Ideal,I,SI1,61.9,57.0,589,4.48,4.44,2.76,5,2,2,"(0.0, 0.85]",9,"(2.999, 10.0]"
88,88,1.16,Premium,H,SI2,58.8,61.0,4157,6.93,6.84,4.05,4,3,3,"(0.85, 1.4]",10,"(2.999, 10.0]"
89,89,0.38,Very Good,F,VS2,59.7,57.0,752,4.73,4.79,2.84,3,5,5,"(0.0, 0.85]",13,"(12.0, 14.0]"
90,90,1.03,Premium,G,SI1,60.5,60.0,5105,6.52,6.48,3.93,4,4,2,"(0.85, 1.4]",10,"(2.999, 10.0]"
91,91,0.9,Very Good,E,SI2,62.2,54.0,3715,6.13,6.21,3.84,3,6,3,"(0.85, 1.4]",12,"(10.0, 12.0]"
92,92,0.5,Very Good,D,SI1,62.8,58.0,1415,5.02,5.05,3.16,3,7,2,"(0.0, 0.85]",12,"(10.0, 12.0]"
93,93,0.3,Ideal,F,SI1,62.2,54.2,499,4.31,4.34,2.69,5,5,2,"(0.0, 0.85]",12,"(10.0, 12.0]"
94,94,0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,5,7,4,"(0.0, 0.85]",16,"(14.0, 20.0]"
95,95,0.91,Fair,F,SI2,65.3,51.0,2996,6.05,5.98,3.93,1,5,3,"(0.85, 1.4]",9,"(2.999, 10.0]"
96,96,1.24,Premium,G,VVS1,60.4,59.0,10485,7.02,7.01,4.24,4,4,6,"(0.85, 1.4]",14,"(12.0, 14.0]"
97,97,2.3,Ideal,I,SI2,61.8,57.0,16329,8.48,8.45,5.23,5,2,3,"(1.9, 2.4]",10,"(2.999, 10.0]"
98,98,0.27,Ideal,E,VS1,61.6,56.0,603,4.17,4.14,2.56,5,6,4,"(0.0, 0.85]",15,"(14.0, 20.0]"
99,99,1.0,Premium,J,VVS2,59.6,61.0,3864,6.4,6.36,3.8,4,1,7,"(0.85, 1.4]",12,"(10.0, 12.0]"
100,100,0.71,Ideal,G,VS2,62.9,56.0,2443,5.73,5.68,3.59,5,4,5,"(0.0, 0.85]",14,"(12.0, 14.0]"
101,101,0.36,Premium,E,SI1,60.8,59.0,810,4.59,4.56,2.78,4,6,2,"(0.0, 0.85]",12,"(10.0, 12.0]"
102,102,0.31,Ideal,D,SI2,62.1,57.0,593,4.34,4.32,2.69,5,7,3,"(0.0, 0.85]",15,"(14.0, 20.0]"
103,103,0.93,Ideal,H,SI1,62.8,56.0,3988,6.19,6.27,3.91,5,3,2,"(0.85, 1.4]",10,"(2.999, 10.0]"
104,104,0.33,Good,D,VS2,61.8,61.0,652,4.4,4.44,2.73,2,7,5,"(0.0, 0.85]",14,"(12.0, 14.0]"
105,105,1.77,Premium,G,SI2,62.7,59.0,9664,7.67,7.66,4.8,4,4,3,"(1.4, 1.9]",11,"(10.0, 12.0]"
106,106,1.06,Ideal,E,SI2,62.2,55.0,5223,6.51,6.54,4.06,5,6,3,"(0.85, 1.4]",14,"(12.0, 14.0]"
107,107,1.21,Ideal,G,SI2,62.1,57.0,5226,6.8,6.85,4.24,5,4,3,"(0.85, 1.4]",12,"(10.0, 12.0]"
108,108,0.3,Ideal,E,VVS1,62.3,55.0,826,4.29,4.32,2.68,5,6,6,"(0.0, 0.85]",17,"(14.0, 20.0]"
109,109,1.27,Ideal,I,VS2,62.6,57.0,6401,6.92,6.88,4.32,5,2,5,"(0.85, 1.4]",12,"(10.0, 12.0]"
110,110,0.92,Very Good,D,SI2,62.4,60.0,4168,6.21,6.25,3.89,3,7,3,"(0.85, 1.4]",13,"(12.0, 14.0]"
111,111,0.31,Ideal,I,VS1,61.9,54.0,489,4.34,4.38,2.7,5,2,4,"(0.0, 0.85]",11,"(10.0, 12.0]"
112,112,2.01,Good,H,VS2,57.8,60.0,18561,8.29,8.35,4.81,2,3,5,"(1.9, 2.4]",10,"(2.999, 10.0]"
113,113,1.51,Ideal,G,VS1,61.9,57.0,14674,7.37,7.34,4.55,5,4,4,"(1.4, 1.9]",13,"(12.0, 14.0]"
114,114,1.83,Very Good,G,VS2,60.5,59.0,18358,7.89,7.99,4.8,3,4,5,"(1.4, 1.9]",12,"(10.0, 12.0]"
115,115,0.38,Premium,F,VS1,62.4,59.0,933,4.57,4.63,2.87,4,5,4,"(0.0, 0.85]",13,"(12.0, 14.0]"
116,116,0.23,Premium,F,VVS2,61.3,59.0,445,3.94,3.99,2.43,4,5,7,"(0.0, 0.85]",16,"(14.0, 20.0]"
117,117,0.92,Ideal,I,SI1,62.1,55.0,3610,6.24,6.29,3.89,5,2,2,"(0.85, 1.4]",9,"(2.999, 10.0]"
118,118,1.5,Premium,D,SI1,62.4,58.0,12069,7.27,7.31,4.55,4,7,2,"(1.4, 1.9]",13,"(12.0, 14.0]"
119,119,0.32,Very Good,G,VS1,62.1,55.0,645,4.41,4.44,2.75,3,4,4,"(0.0, 0.85]",11,"(10.0, 12.0]"
120,120,1.0,Ideal,F,SI2,61.2,57.0,4372,6.39,6.48,3.94,5,5,3,"(0.85, 1.4]",13,"(12.0, 14.0]"
121,121,0.31,Very Good,F,VVS1,59.4,57.0,779,4.39,4.43,2.62,3,5,6,"(0.0, 0.85]",14,"(12.0, 14.0]"
122,122,0.52,Good,F,SI2,58.7,64.0,1350,5.24,5.26,3.08,2,5,3,"(0.0, 0.85]",10,"(2.999, 10.0]"
123,123,2.01,Ideal,H,SI2,62.5,53.9,14998,8.04,8.07,5.04,5,3,3,"(1.9, 2.4]",11,"(10.0, 12.0]"
124,124,0.31,Ideal,G,VVS2,62.2,55.0,565,4.32,4.36,2.7,5,4,7,"(0.0, 0.85]",16,"(14.0, 20.0]"
125,125,0.77,Very Good,J,SI1,61.0,59.0,2086,5.94,5.99,3.64,3,1,2,"(0.0, 0.85]",6,"(2.999, 10.0]"
126,126,1.13,Very Good,H,SI2,59.8,59.0,4537,6.75,6.82,4.06,3,3,3,"(0.85, 1.4]",9,"(2.999, 10.0]"
127,127,0.32,Ideal,D,SI1,62.6,55.0,589,4.36,4.39,2.74,5,7,2,"(0.0, 0.85]",14,"(12.0, 14.0]"
128,128,2.07,Premium,E,SI1,61.2,58.0,16957,8.24,8.19,5.03,4,6,2,"(1.9, 2.4]",12,"(10.0, 12.0]"
129,129,0.71,Premium,G,VS2,60.3,59.0,2443,5.79,5.76,3.48,4,4,5,"(0.0, 0.85]",13,"(12.0, 14.0]"
130,130,1.11,Ideal,F,VS2,60.4,58.0,7275,6.73,6.66,4.04,5,5,5,"(0.85, 1.4]",15,"(14.0, 20.0]"
131,131,1.02,Premium,F,SI2,61.1,59.0,4541,6.45,6.41,3.93,4,5,3,"(0.85, 1.4]",12,"(10.0, 12.0]"
132,132,1.56,Ideal,H,VS2,61.5,56.0,11636,7.5,7.46,4.6,5,3,5,"(1.4, 1.9]",13,"(12.0, 14.0]"
133,133,0.34,Very Good,I,VS2,61.6,56.0,457,4.47,4.51,2.76,3,2,5,"(0.0, 0.85]",10,"(2.999, 10.0]"
134,134,0.96,Premium,G,SI2,62.7,60.0,3215,6.29,6.11,3.89,4,4,3,"(0.85, 1.4]",11,"(10.0, 12.0]"
135,135,0.31,Premium,D,VS2,62.3,55.0,942,4.35,4.32,2.7,4,7,5,"(0.0, 0.85]",16,"(14.0, 20.0]"
136,136,0.64,Very Good,G,VS1,60.4,62.0,2060,5.54,5.58,3.36,3,4,4,"(0.0, 0.85]",11,"(10.0, 12.0]"
137,137,1.01,Premium,F,VVS1,62.5,58.0,7882,6.41,6.35,3.99,4,5,6,"(0.85, 1.4]",15,"(14.0, 20.0]"
138,138,0.35,Ideal,H,VVS2,62.5,57.0,706,4.48,4.54,2.82,5,3,7,"(0.0, 0.85]",15,"(14.0, 20.0]"
139,139,0.7,Premium,F,SI2,62.5,60.0,2373,5.66,5.61,3.52,4,5,3,"(0.0, 0.85]",12,"(10.0, 12.0]"
140,140,0.3,Ideal,H,VS1,62.1,54.0,675,4.35,4.32,2.69,5,3,4,"(0.0, 0.85]",12,"(10.0, 12.0]"
141,141,0.71,Ideal,H,VVS1,61.1,56.0,3137,5.78,5.81,3.53,5,3,6,"(0.0, 0.85]",14,"(12.0, 14.0]"
142,142,0.31,Ideal,G,IF,61.1,57.0,871,4.38,4.42,2.68,5,4,8,"(0.0, 0.85]",17,"(14.0, 20.0]"
143,143,2.25,Ideal,E,I1,61.4,54.0,9072,8.52,8.46,5.21,5,6,1,"(1.9, 2.4]",12,"(10.0, 12.0]"
144,144,1.18,Premium,I,SI1,62.8,56.0,5088,6.74,6.71,4.22,4,2,2,"(0.85, 1.4]",8,"(2.999, 10.0]"
145,145,1.22,Very Good,G,SI2,63.2,58.0,6409,6.82,6.76,4.29,3,4,3,"(0.85, 1.4]",10,"(2.999, 10.0]"
146,146,1.72,Ideal,G,VS2,62.8,57.0,12830,7.65,7.58,4.78,5,4,5,"(1.4, 1.9]",14,"(12.0, 14.0]"
147,147,2.01,Ideal,F,SI2,61.7,56.0,18394,8.12,8.16,5.02,5,5,3,"(1.9, 2.4]",13,"(12.0, 14.0]"
148,148,1.03,Premium,G,SI1,60.1,60.0,5581,6.55,6.52,3.93,4,4,2,"(0.85, 1.4]",10,"(2.999, 10.0]"
149,149,0.7,Ideal,F,VS2,62.0,56.0,2671,5.71,5.74,3.55,5,5,5,"(0.0, 0.85]",15,"(14.0, 20.0]"
150,150,1.01,Good,E,SI1,64.3,59.0,5379,6.23,6.28,4.02,2,6,2,"(0.85, 1.4]",10,"(2.999, 10.0]"
151,151,1.0,Fair,H,VS1,64.6,59.0,5242,6.3,6.26,4.06,1,3,4,"(0.85, 1.4]",8,"(2.999, 10.0]"
152,152,1.1,Ideal,F,VVS2,61.2,56.0,10487,6.66,6.74,4.1,5,5,7,"(0.85, 1.4]",17,"(14.0, 20.0]"
153,153,0.59,Ideal,D,IF,60.9,57.0,4208,5.4,5.43,3.3,5,7,8,"(0.0, 0.85]",20,"(14.0, 20.0]"
154,154,0.3,Very Good,H,VS2,63.5,59.0,608,4.27,4.2,2.69,3,3,5,"(0.0, 0.85]",11,"(10.0, 12.0]"
155,155,0.56,Ideal,E,VS1,61.3,55.0,1930,5.29,5.32,3.25,5,6,4,"(0.0, 0.85]",15,"(14.0, 20.0]"
156,156,0.9,Premium,F,SI1,61.7,62.0,3936,6.19,6.13,3.8,4,5,2,"(0.85, 1.4]",11,"(10.0, 12.0]"
157,157,0.57,Very Good,E,VS2,60.7,58.0,1732,5.37,5.33,3.25,3,6,5,"(0.0, 0.85]",14,"(12.0, 14.0]"
158,158,0.72,Ideal,D,SI2,61.2,57.0,2328,5.76,5.8,3.54,5,7,3,"(0.0, 0.85]",15,"(14.0, 20.0]"
159,159,1.0,Fair,H,SI1,65.5,57.0,3511,6.26,6.21,4.08,1,3,2,"(0.85, 1.4]",6,"(2.999, 10.0]"
160,160,0.4,Ideal,G,VVS1,62.1,53.0,1043,4.75,4.79,2.96,5,4,6,"(0.0, 0.85]",15,"(14.0, 20.0]"
161,161,1.22,Premium,I,SI2,62.3,58.0,4831,6.8,6.85,4.25,4,2,3,"(0.85, 1.4]",9,"(2.999, 10.0]"
162,162,1.02,Ideal,G,IF,62.3,57.0,8955,6.43,6.5,4.03,5,4,8,"(0.85, 1.4]",17,"(14.0, 20.0]"
163,163,1.08,Ideal,H,VS2,61.8,56.0,5625,6.59,6.55,4.06,5,3,5,"(0.85, 1.4]",13,"(12.0, 14.0]"
164,164,0.33,Premium,G,IF,60.8,58.0,1052,4.46,4.42,2.7,4,4,8,"(0.0, 0.85]",16,"(14.0, 20.0]"
165,165,0.42,Very Good,E,VVS2,59.8,56.0,1167,4.9,4.92,2.94,3,6,7,"(0.0, 0.85]",16,"(14.0, 20.0]"
166,166,1.36,Very Good,F,SI1,62.8,53.0,6597,7.05,7.1,4.45,3,5,2,"(0.85, 1.4]",10,"(2.999, 10.0]"
167,167,0.58,Ideal,F,VS1,62.1,56.0,2088,5.38,5.32,3.32,5,5,4,"(0.0, 0.85]",14,"(12.0, 14.0]"
168,168,1.02,Good,G,SI1,63.6,58.0,4964,6.34,6.39,4.05,2,4,2,"(0.85, 1.4]",8,"(2.999, 10.0]"
169,169,1.19,Good,E,VS2,57.4,60.0,6937,6.9,7.0,3.99,2,6,5,"(0.85, 1.4]",13,"(12.0, 14.0]"
170,170,2.01,Good,D,SI2,64.6,55.0,15394,7.85,7.98,5.11,2,7,3,"(1.9, 2.4]",12,"(10.0, 12.0]"
171,171,1.15,Very Good,F,SI2,63.1,63.0,4915,6.67,6.57,4.18,3,5,3,"(0.85, 1.4]",11,"(10.0, 12.0]"
172,172,0.79,Premium,D,SI2,60.0,60.0,2853,6.07,6.03,3.63,4,7,3,"(0.0, 0.85]",14,"(12.0, 14.0]"
173,173,0.32,Premium,D,VS2,62.9,59.0,842,4.39,4.36,2.75,4,7,5,"(0.0, 0.85]",16,"(14.0, 20.0]"
174,174,0.31,Ideal,F,VS2,61.6,56.0,749,4.38,4.35,2.69,5,5,5,"(0.0, 0.85]",15,"(14.0, 20.0]"
175,175,0.54,Very Good,F,VS1,61.0,58.0,1813,5.24,5.25,3.2,3,5,4,"(0.0, 0.85]",12,"(10.0, 12.0]"
176,176,0.5,Very Good,D,VS2,62.8,60.0,1627,5.02,5.08,3.17,3,7,5,"(0.0, 0.85]",15,"(14.0, 20.0]"
177,177,1.86,Very Good,H,SI2,62.3,57.0,11416,7.82,7.85,4.88,3,3,3,"(1.4, 1.9]",9,"(2.999, 10.0]"
178,178,1.04,Very Good,H,VS2,60.9,58.0,5447,6.5,6.6,3.99,3,3,5,"(0.85, 1.4]",11,"(10.0, 12.0]"
179,179,1.41,Ideal,G,VS2,60.8,55.0,10581,7.27,7.2,4.4,5,4,5,"(1.4, 1.9]",14,"(12.0, 14.0]"
180,180,0.3,Ideal,E,SI1,61.6,54.0,499,4.32,4.35,2.67,5,6,2,"(0.0, 0.85]",13,"(12.0, 14.0]"
181,181,0.33,Ideal,H,VS1,61.6,55.0,610,4.46,4.48,2.75,5,3,4,"(0.0, 0.85]",12,"(10.0, 12.0]"
182,182,1.06,Ideal,D,SI1,62.7,54.0,6055,6.55,6.52,4.1,5,7,2,"(0.85, 1.4]",14,"(12.0, 14.0]"
183,183,0.31,Ideal,I,SI2,62.0,54.1,372,4.32,4.35,2.69,5,2,3,"(0.0, 0.85]",10,"(2.999, 10.0]"
184,184,0.91,Good,G,SI1,64.3,60.0,3344,6.04,6.12,3.91,2,4,2,"(0.85, 1.4]",8,"(2.999, 10.0]"
185,185,0.75,Very Good,J,SI1,62.4,56.0,2083,5.78,5.82,3.62,3,1,2,"(0.0, 0.85]",6,"(2.999, 10.0]"
