,carat,cut,color,clarity,depth,table,price,x,y,z,cut_int,color_int,clarity_int,carat_category
75,0.55,Very Good,F,VS1,61.2,56.4,1975,5.28,5.33,3.25,3,5,4,"(0.196, 1.06]"
76,1.64,Ideal,E,SI1,60.7,55.0,9801,7.67,7.64,4.65,5,6,2,"(1.06, 1.92]"
77,0.3,Premium,E,VS2,62.5,59.0,658,4.27,4.3,2.68,4,6,5,"(0.196, 1.06]"
78,0.41,Ideal,D,VS2,61.7,56.0,1076,4.81,4.78,2.96,5,7,5,"(0.196, 1.06]"
79,0.3,Premium,D,VVS2,62.4,58.0,752,4.26,4.3,2.67,4,7,7,"(0.196, 1.06]"
80,1.1,Premium,G,VS2,59.6,60.0,6121,6.72,6.7,4.0,4,4,5,"(1.06, 1.92]"
81,1.03,Ideal,I,SI1,63.3,57.0,4401,6.37,6.46,4.06,5,2,2,"(0.196, 1.06]"
82,0.3,Fair,J,VS2,64.8,58.0,416,4.24,4.16,2.72,1,1,5,"(0.196, 1.06]"
83,1.02,Premium,I,SI1,62.7,58.0,4227,6.44,6.41,4.03,4,2,2,"(0.196, 1.06]"
84,0.56,Premium,E,VS2,61.8,56.0,1915,5.31,5.28,3.27,4,6,5,"(0.196, 1.06]"
85,1.51,Very Good,F,VS1,62.6,57.0,14976,7.25,7.29,4.55,3,5,4,"(1.06, 1.92]"
86,1.13,Premium,I,SI1,61.8,59.0,4536,6.65,6.68,4.12,4,2,2,"(1.06, 1.92]"
87,0.34,Ideal,I,SI1,61.9,57.0,589,4.48,4.44,2.76,5,2,2,"(0.196, 1.06]"
88,1.16,Premium,H,SI2,58.8,61.0,4157,6.93,6.84,4.05,4,3,3,"(1.06, 1.92]"
89,0.38,Very Good,F,VS2,59.7,57.0,752,4.73,4.79,2.84,3,5,5,"(0.196, 1.06]"
90,1.03,Premium,G,SI1,60.5,60.0,5105,6.52,6.48,3.93,4,4,2,"(0.196, 1.06]"
91,0.9,Very Good,E,SI2,62.2,54.0,3715,6.13,6.21,3.84,3,6,3,"(0.196, 1.06]"
92,0.5,Very Good,D,SI1,62.8,58.0,1415,5.02,5.05,3.16,3,7,2,"(0.196, 1.06]"
93,0.3,Ideal,F,SI1,62.2,54.2,499,4.31,4.34,2.69,5,5,2,"(0.196, 1.06]"
94,0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,5,7,4,"(0.196, 1.06]"
95,0.91,Fair,F,SI2,65.3,51.0,2996,6.05,5.98,3.93,1,5,3,"(0.196, 1.06]"
96,1.24,Premium,G,VVS1,60.4,59.0,10485,7.02,7.01,4.24,4,4,6,"(1.06, 1.92]"
97,2.3,Ideal,I,SI2,61.8,57.0,16329,8.48,8.45,5.23,5,2,3,"(1.92, 2.78]"
98,0.27,Ideal,E,VS1,61.6,56.0,603,4.17,4.14,2.56,5,6,4,"(0.196, 1.06]"
99,1.0,Premium,J,VVS2,59.6,61.0,3864,6.4,6.36,3.8,4,1,7,"(0.196, 1.06]"
100,0.71,Ideal,G,VS2,62.9,56.0,2443,5.73,5.68,3.59,5,4,5,"(0.196, 1.06]"
101,0.36,Premium,E,SI1,60.8,59.0,810,4.59,4.56,2.78,4,6,2,"(0.196, 1.06]"
102,0.31,Ideal,D,SI2,62.1,57.0,593,4.34,4.32,2.69,5,7,3,"(0.196, 1.06]"
103,0.93,Ideal,H,SI1,62.8,56.0,3988,6.19,6.27,3.91,5,3,2,"(0.196, 1.06]"
104,0.33,Good,D,VS2,61.8,61.0,652,4.4,4.44,2.73,2,7,5,"(0.196, 1.06]"
105,1.77,Premium,G,SI2,62.7,59.0,9664,7.67,7.66,4.8,4,4,3,"(1.06, 1.92]"
106,1.06,Ideal,E,SI2,62.2,55.0,5223,6.51,6.54,4.06,5,6,3,"(0.196, 1.06]"
107,1.21,Ideal,G,SI2,62.1,57.0,5226,6.8,6.85,4.24,5,4,3,"(1.06, 1.92]"
108,0.3,Ideal,E,VVS1,62.3,55.0,826,4.29,4.32,2.68,5,6,6,"(0.196, 1.06]"
109,1.27,Ideal,I,VS2,62.6,57.0,6401,6.92,6.88,4.32,5,2,5,"(1.06, 1.92]"
110,0.92,Very Good,D,SI2,62.4,60.0,4168,6.21,6.25,3.89,3,7,3,"(0.196, 1.06]"
111,0.31,Ideal,I,VS1,61.9,54.0,489,4.34,4.38,2.7,5,2,4,"(0.196, 1.06]"
112,2.01,Good,H,VS2,57.8,60.0,18561,8.29,8.35,4.81,2,3,5,"(1.92, 2.78]"
113,1.51,Ideal,G,VS1,61.9,57.0,14674,7.37,7.34,4.55,5,4,4,"(1.06, 1.92]"
114,1.83,Very Good,G,VS2,60.5,59.0,18358,7.89,7.99,4.8,3,4,5,"(1.06, 1.92]"
115,0.38,Premium,F,VS1,62.4,59.0,933,4.57,4.63,2.87,4,5,4,"(0.196, 1.06]"
116,0.23,Premium,F,VVS2,61.3,59.0,445,3.94,3.99,2.43,4,5,7,"(0.196, 1.06]"
117,0.92,Ideal,I,SI1,62.1,55.0,3610,6.24,6.29,3.89,5,2,2,"(0.196, 1.06]"
118,1.5,Premium,D,SI1,62.4,58.0,12069,7.27,7.31,4.55,4,7,2,"(1.06, 1.92]"
119,0.32,Very Good,G,VS1,62.1,55.0,645,4.41,4.44,2.75,3,4,4,"(0.196, 1.06]"
120,1.0,Ideal,F,SI2,61.2,57.0,4372,6.39,6.48,3.94,5,5,3,"(0.196, 1.06]"
121,0.31,Very Good,F,VVS1,59.4,57.0,779,4.39,4.43,2.62,3,5,6,"(0.196, 1.06]"
122,0.52,Good,F,SI2,58.7,64.0,1350,5.24,5.26,3.08,2,5,3,"(0.196, 1.06]"
123,2.01,Ideal,H,SI2,62.5,53.9,14998,8.04,8.07,5.04,5,3,3,"(1.92, 2.78]"
124,0.31,Ideal,G,VVS2,62.2,55.0,565,4.32,4.36,2.7,5,4,7,"(0.196, 1.06]"
125,0.77,Very Good,J,SI1,61.0,59.0,2086,5.94,5.99,3.64,3,1,2,"(0.196, 1.06]"
126,1.13,Very Good,H,SI2,59.8,59.0,4537,6.75,6.82,4.06,3,3,3,"(1.06, 1.92]"
127,0.32,Ideal,D,SI1,62.6,55.0,589,4.36,4.39,2.74,5,7,2,"(0.196, 1.06]"
128,2.07,Premium,E,SI1,61.2,58.0,16957,8.24,8.19,5.03,4,6,2,"(1.92, 2.78]"
129,0.71,Premium,G,VS2,60.3,59.0,2443,5.79,5.76,3.48,4,4,5,"(0.196, 1.06]"
130,1.11,Ideal,F,VS2,60.4,58.0,7275,6.73,6.66,4.04,5,5,5,"(1.06, 1.92]"
131,1.02,Premium,F,SI2,61.1,59.0,4541,6.45,6.41,3.93,4,5,3,"(0.196, 1.06]"
132,1.56,Ideal,H,VS2,61.5,56.0,11636,7.5,7.46,4.6,5,3,5,"(1.06, 1.92]"
133,0.34,Very Good,I,VS2,61.6,56.0,457,4.47,4.51,2.76,3,2,5,"(0.196, 1.06]"
134,0.96,Premium,G,SI2,62.7,60.0,3215,6.29,6.11,3.89,4,4,3,"(0.196, 1.06]"
135,0.31,Premium,D,VS2,62.3,55.0,942,4.35,4.32,2.7,4,7,5,"(0.196, 1.06]"
136,0.64,Very Good,G,VS1,60.4,62.0,2060,5.54,5.58,3.36,3,4,4,"(0.196, 1.06]"
137,1.01,Premium,F,VVS1,62.5,58.0,7882,6.41,6.35,3.99,4,5,6,"(0.196, 1.06]"
138,0.35,Ideal,H,VVS2,62.5,57.0,706,4.48,4.54,2.82,5,3,7,"(0.196, 1.06]"
139,0.7,Premium,F,SI2,62.5,60.0,2373,5.66,5.61,3.52,4,5,3,"(0.196, 1.06]"
140,0.3,Ideal,H,VS1,62.1,54.0,675,4.35,4.32,2.69,5,3,4,"(0.196, 1.06]"
141,0.71,Ideal,H,VVS1,61.1,56.0,3137,5.78,5.81,3.53,5,3,6,"(0.196, 1.06]"
142,0.31,Ideal,G,IF,61.1,57.0,871,4.38,4.42,2.68,5,4,8,"(0.196, 1.06]"
143,2.25,Ideal,E,I1,61.4,54.0,9072,8.52,8.46,5.21,5,6,1,"(1.92, 2.78]"
144,1.18,Premium,I,SI1,62.8,56.0,5088,6.74,6.71,4.22,4,2,2,"(1.06, 1.92]"
145,1.22,Very Good,G,SI2,63.2,58.0,6409,6.82,6.76,4.29,3,4,3,"(1.06, 1.92]"
146,1.72,Ideal,G,VS2,62.8,57.0,12830,7.65,7.58,4.78,5,4,5,"(1.06, 1.92]"
147,2.01,Ideal,F,SI2,61.7,56.0,18394,8.12,8.16,5.02,5,5,3,"(1.92, 2.78]"
148,1.03,Premium,G,SI1,60.1,60.0,5581,6.55,6.52,3.93,4,4,2,"(0.196, 1.06]"
149,0.7,Ideal,F,VS2,62.0,56.0,2671,5.71,5.74,3.55,5,5,5,"(0.196, 1.06]"
150,1.01,Good,E,SI1,64.3,59.0,5379,6.23,6.28,4.02,2,6,2,"(0.196, 1.06]"
151,1.0,Fair,H,VS1,64.6,59.0,5242,6.3,6.26,4.06,1,3,4,"(0.196, 1.06]"
152,1.1,Ideal,F,VVS2,61.2,56.0,10487,6.66,6.74,4.1,5,5,7,"(1.06, 1.92]"
153,0.59,Ideal,D,IF,60.9,57.0,4208,5.4,5.43,3.3,5,7,8,"(0.196, 1.06]"
154,0.3,Very Good,H,VS2,63.5,59.0,608,4.27,4.2,2.69,3,3,5,"(0.196, 1.06]"
155,0.56,Ideal,E,VS1,61.3,55.0,1930,5.29,5.32,3.25,5,6,4,"(0.196, 1.06]"
156,0.9,Premium,F,SI1,61.7,62.0,3936,6.19,6.13,3.8,4,5,2,"(0.196, 1.06]"
157,0.57,Very Good,E,VS2,60.7,58.0,1732,5.37,5.33,3.25,3,6,5,"(0.196, 1.06]"
158,0.72,Ideal,D,SI2,61.2,57.0,2328,5.76,5.8,3.54,5,7,3,"(0.196, 1.06]"
159,1.0,Fair,H,SI1,65.5,57.0,3511,6.26,6.21,4.08,1,3,2,"(0.196, 1.06]"
160,0.4,Ideal,G,VVS1,62.1,53.0,1043,4.75,4.79,2.96,5,4,6,"(0.196, 1.06]"
161,1.22,Premium,I,SI2,62.3,58.0,4831,6.8,6.85,4.25,4,2,3,"(1.06, 1.92]"
162,1.02,Ideal,G,IF,62.3,57.0,8955,6.43,6.5,4.03,5,4,8,"(0.196, 1.06]"
163,1.08,Ideal,H,VS2,61.8,56.0,5625,6.59,6.55,4.06,5,3,5,"(1.06, 1.92]"
164,0.33,Premium,G,IF,60.8,58.0,1052,4.46,4.42,2.7,4,4,8,"(0.196, 1.06]"
165,0.42,Very Good,E,VVS2,59.8,56.0,1167,4.9,4.92,2.94,3,6,7,"(0.196, 1.06]"
166,1.36,Very Good,F,SI1,62.8,53.0,6597,7.05,7.1,4.45,3,5,2,"(1.06, 1.92]"
167,0.58,Ideal,F,VS1,62.1,56.0,2088,5.38,5.32,3.32,5,5,4,"(0.196, 1.06]"
168,1.02,Good,G,SI1,63.6,58.0,4964,6.34,6.39,4.05,2,4,2,"(0.196, 1.06]"
169,1.19,Good,E,VS2,57.4,60.0,6937,6.9,7.0,3.99,2,6,5,"(1.06, 1.92]"
170,2.01,Good,D,SI2,64.6,55.0,15394,7.85,7.98,5.11,2,7,3,"(1.92, 2.78]"
171,1.15,Very Good,F,SI2,63.1,63.0,4915,6.67,6.57,4.18,3,5,3,"(1.06, 1.92]"
172,0.79,Premium,D,SI2,60.0,60.0,2853,6.07,6.03,3.63,4,7,3,"(0.196, 1.06]"
173,0.32,Premium,D,VS2,62.9,59.0,842,4.39,4.36,2.75,4,7,5,"(0.196, 1.06]"
174,0.31,Ideal,F,VS2,61.6,56.0,749,4.38,4.35,2.69,5,5,5,"(0.196, 1.06]"
175,0.54,Very Good,F,VS1,61.0,58.0,1813,5.24,5.25,3.2,3,5,4,"(0.196, 1.06]"
176,0.5,Very Good,D,VS2,62.8,60.0,1627,5.02,5.08,3.17,3,7,5,"(0.196, 1.06]"
177,1.86,Very Good,H,SI2,62.3,57.0,11416,7.82,7.85,4.88,3,3,3,"(1.06, 1.92]"
178,1.04,Very Good,H,VS2,60.9,58.0,5447,6.5,6.6,3.99,3,3,5,"(0.196, 1.06]"
179,1.41,Ideal,G,VS2,60.8,55.0,10581,7.27,7.2,4.4,5,4,5,"(1.06, 1.92]"
180,0.3,Ideal,E,SI1,61.6,54.0,499,4.32,4.35,2.67,5,6,2,"(0.196, 1.06]"
181,0.33,Ideal,H,VS1,61.6,55.0,610,4.46,4.48,2.75,5,3,4,"(0.196, 1.06]"
182,1.06,Ideal,D,SI1,62.7,54.0,6055,6.55,6.52,4.1,5,7,2,"(0.196, 1.06]"
183,0.31,Ideal,I,SI2,62.0,54.1,372,4.32,4.35,2.69,5,2,3,"(0.196, 1.06]"
184,0.91,Good,G,SI1,64.3,60.0,3344,6.04,6.12,3.91,2,4,2,"(0.196, 1.06]"
185,0.75,Very Good,J,SI1,62.4,56.0,2083,5.78,5.82,3.62,3,1,2,"(0.196, 1.06]"
186,0.3,Very Good,F,IF,62.1,57.0,886,4.26,4.3,2.66,3,5,8,"(0.196, 1.06]"
187,0.41,Ideal,D,VVS1,60.6,57.0,1582,4.82,4.79,2.91,5,7,6,"(0.196, 1.06]"
188,1.01,Premium,H,SI2,59.4,62.0,3083,6.47,6.43,3.83,4,3,3,"(0.196, 1.06]"
189,1.02,Very Good,G,VVS1,63.0,58.0,7657,6.4,6.43,4.04,3,4,6,"(0.196, 1.06]"
190,0.27,Ideal,G,VS1,62.3,53.0,527,4.16,4.19,2.6,5,4,4,"(0.196, 1.06]"
191,0.7,Very Good,F,SI1,62.6,56.0,2196,5.66,5.72,3.56,3,5,2,"(0.196, 1.06]"
192,1.51,Ideal,I,VS2,62.3,57.0,9297,7.28,7.37,4.56,5,2,5,"(1.06, 1.92]"
193,2.22,Ideal,J,SI2,62.8,57.0,13703,8.33,8.29,5.22,5,1,3,"(1.92, 2.78]"
194,0.54,Premium,G,VS2,62.7,58.0,1422,5.21,5.25,3.28,4,4,5,"(0.196, 1.06]"
195,1.23,Premium,D,SI2,58.9,58.0,5283,6.99,6.97,4.11,4,7,3,"(1.06, 1.92]"
196,0.9,Good,E,SI1,63.9,57.0,3795,6.12,6.08,3.9,2,6,2,"(0.196, 1.06]"
197,0.88,Fair,F,SI1,56.6,65.0,2882,6.39,6.32,3.6,1,5,2,"(0.196, 1.06]"
198,0.7,Fair,G,SI2,58.6,56.0,2208,5.8,5.74,3.38,1,4,3,"(0.196, 1.06]"
199,0.31,Premium,H,SI1,62.7,58.0,558,4.34,4.31,2.71,4,3,2,"(0.196, 1.06]"
200,1.25,Ideal,G,SI2,61.1,55.0,6371,6.95,6.99,4.26,5,4,3,"(1.06, 1.92]"
201,1.01,Premium,G,SI2,59.1,59.0,4242,6.55,6.51,3.86,4,4,3,"(0.196, 1.06]"
202,0.3,Very Good,F,SI2,63.5,57.0,506,4.25,4.22,2.69,3,5,3,"(0.196, 1.06]"
203,0.28,Very Good,E,VS1,59.5,59.0,487,4.29,4.35,2.57,3,6,4,"(0.196, 1.06]"
204,0.51,Premium,F,SI2,61.1,59.0,1227,5.15,5.09,3.13,4,5,3,"(0.196, 1.06]"
205,0.52,Ideal,I,VS2,61.9,58.0,1232,5.14,5.17,3.19,5,2,5,"(0.196, 1.06]"
206,0.52,Premium,G,VVS1,59.2,58.0,2153,5.31,5.28,3.14,4,4,6,"(0.196, 1.06]"
207,0.3,Good,D,SI2,63.3,57.0,447,4.26,4.3,2.71,2,7,3,"(0.196, 1.06]"
208,0.51,Very Good,D,SI1,62.2,58.0,1398,5.08,5.11,3.17,3,7,2,"(0.196, 1.06]"
209,0.42,Premium,D,VVS2,62.8,59.0,1241,4.76,4.73,2.98,4,7,7,"(0.196, 1.06]"
210,1.82,Premium,H,VS2,61.6,60.0,14749,7.78,7.74,4.78,4,3,5,"(1.06, 1.92]"
211,0.7,Very Good,E,VS2,58.9,60.0,2845,5.83,5.85,3.44,3,6,5,"(0.196, 1.06]"
212,1.37,Ideal,G,VVS2,62.3,55.5,12207,7.05,7.14,4.43,5,4,7,"(1.06, 1.92]"
213,1.0,Premium,G,SI2,62.7,59.0,4095,6.3,6.36,3.97,4,4,3,"(0.196, 1.06]"
214,1.2,Ideal,G,SI2,61.1,57.0,5722,6.83,6.86,4.18,5,4,3,"(1.06, 1.92]"
215,1.01,Premium,E,VS1,62.0,59.0,7964,6.42,6.38,3.97,4,6,4,"(0.196, 1.06]"
216,0.5,Ideal,H,SI1,61.7,58.0,1035,5.07,5.11,3.14,5,3,2,"(0.196, 1.06]"
217,1.0,Premium,E,VS1,60.4,59.0,7744,6.51,6.54,3.94,4,6,4,"(0.196, 1.06]"
218,0.31,Ideal,F,IF,61.4,56.0,1061,4.38,4.41,2.7,5,5,8,"(0.196, 1.06]"
219,0.4,Very Good,D,VS2,63.3,58.0,845,4.63,4.66,2.94,3,7,5,"(0.196, 1.06]"
220,0.32,Very Good,G,VS2,62.3,55.0,544,4.38,4.41,2.73,3,4,5,"(0.196, 1.06]"
221,1.54,Premium,F,VS2,62.4,59.0,14578,7.43,7.38,4.62,4,5,5,"(1.06, 1.92]"
222,1.05,Premium,E,I1,61.4,58.0,2964,6.53,6.46,3.99,4,6,1,"(0.196, 1.06]"
223,1.05,Premium,G,VS2,61.9,59.0,5821,6.56,6.52,4.05,4,4,5,"(0.196, 1.06]"
224,1.0,Good,G,VS1,63.9,55.0,6028,6.34,6.28,4.03,2,4,4,"(0.196, 1.06]"
225,0.3,Very Good,I,VS1,63.3,59.0,608,4.23,4.2,2.67,3,2,4,"(0.196, 1.06]"
226,0.3,Very Good,E,VS2,62.4,57.0,658,4.24,4.26,2.65,3,6,5,"(0.196, 1.06]"
227,1.0,Good,G,VVS2,60.9,56.0,7492,6.49,6.52,3.96,2,4,7,"(0.196, 1.06]"
228,0.39,Premium,F,VS1,60.6,55.0,1092,4.77,4.73,2.88,4,5,4,"(0.196, 1.06]"
229,0.31,Very Good,G,SI1,63.0,56.0,462,4.3,4.34,2.72,3,4,2,"(0.196, 1.06]"
230,0.31,Premium,G,VS2,61.8,58.0,435,4.35,4.39,2.7,4,4,5,"(0.196, 1.06]"
231,0.6,Ideal,F,SI1,61.5,58.0,1646,5.38,5.41,3.32,5,5,2,"(0.196, 1.06]"
232,0.31,Ideal,G,SI2,60.5,57.0,523,4.4,4.36,2.65,5,4,3,"(0.196, 1.06]"
233,0.3,Very Good,D,VS2,62.6,61.0,710,4.22,4.25,2.65,3,7,5,"(0.196, 1.06]"
234,0.41,Ideal,G,VVS1,62.1,55.0,1230,4.79,4.74,2.96,5,4,6,"(0.196, 1.06]"
235,0.33,Premium,G,VS1,60.3,58.0,621,4.5,4.52,2.72,4,4,4,"(0.196, 1.06]"
236,0.7,Very Good,F,VS1,61.8,59.0,2895,5.66,5.76,3.53,3,5,4,"(0.196, 1.06]"
237,0.28,Very Good,E,VVS1,62.1,57.0,707,4.17,4.21,2.6,3,6,6,"(0.196, 1.06]"
